GivenName,SurnameCount,Female,Male,Gender,pVal
一実,7,2,5,b,0.455742239952087
一樹,51,0,51,m,0.00100000004749745
一真,23,0,23,m,0.00418317271396518
一人,15,0,15,m,0.0281065888702869
一仁,17,0,17,m,0.0174575205892324
一世,2,1,1,b,0.378881573677063
一成,59,0,59,m,0.00100000004749745
一生,14,0,14,m,0.0356632508337498
一代,2,2,0,f,0.044897086918354
一男,31,0,31,m,0.00499999988824129
一徳,22,0,22,m,0.00530784949660301
一馬,15,0,15,m,0.0281065888702869
一博,29,0,29,m,0.00600000005215406
一美,30,19,11,f,0.00100000004749745
一彦,46,0,46,m,0.00100000004749745
一夫,44,0,44,m,0.00100000004749745
一平,29,0,29,m,0.00600000005215406
一穂,2,1,1,b,0.378881573677063
一也,49,0,49,m,0.00100000004749745
一雄,35,0,35,m,0.00300000002607703
一葉,5,4,1,f,0.00837027933448553
一朗,19,0,19,m,0.0108431875705719
一郎,84,0,84,m,0.00100000004749745
逸子,3,3,0,f,0.00951321329921484
逸美,3,3,0,f,0.00951321329921484
稲子,2,2,0,f,0.044897086918354
映,2,2,0,f,0.044897086918354
映子,4,4,0,f,0.00201574829407036
映美,2,2,0,f,0.044897086918354
栄,21,0,21,m,0.00673490390181541
栄一,45,0,45,m,0.00100000004749745
栄司,13,0,13,m,0.0452515780925751
栄子,22,22,0,f,1.49416918945102E-15
栄治,39,0,39,m,0.0020000000949949
栄二,25,0,25,m,0.00999999977648258
栄美,2,2,0,f,0.044897086918354
栄美子,2,2,0,f,0.044897086918354
栄里,4,4,0,f,0.00201574829407036
永子,5,5,0,f,0.000427115563070402
瑛子,3,3,0,f,0.00951321329921484
瑛美,4,4,0,f,0.00201574829407036
英,14,2,12,b,0.40448796749115
英一,39,0,39,m,0.0020000000949949
英紀,15,0,15,m,0.0281065888702869
英恵,3,2,1,b,0.115664832293987
英幸,24,0,24,m,0.0120000001043081
英行,13,0,13,m,0.0452515780925751
英司,37,0,37,m,0.00300000002607703
英子,26,26,0,f,0.00100000004749745
英次,13,0,13,m,0.0452515780925751
英治,48,0,48,m,0.00100000004749745
英樹,149,0,149,m,0.00100000004749745
英俊,27,0,27,m,0.00800000037997961
英昭,20,0,20,m,0.00854563154280186
英人,18,0,18,m,0.0137584581971169
英生,19,0,19,m,0.0108431875705719
英男,18,0,18,m,0.0137584581971169
英二,41,0,41,m,0.00100000004749745
英之,49,0,49,m,0.00100000004749745
英美,11,7,4,f,0.00280054565519094
英美子,4,4,0,f,0.00201574829407036
英彦,16,0,16,m,0.0221511032432318
英夫,25,0,25,m,0.00999999977648258
英明,78,0,78,m,0.00100000004749745
英雄,49,0,49,m,0.00100000004749745
英理,3,3,0,f,0.00951321329921484
英里,7,7,0,f,1.91762446775101E-05
