EndChar,SurnameCount,Female,Male,Gender,pVal
聡,234,1,233,m,0.00100000004749745
草,9,9,0,f,8.60957527493156E-07
蒼,6,2,4,b,0.373838186264038
蔵,42,0,42,m,0.00100000004749745
造,68,0,68,m,0.00100000004749745
則,454,0,454,m,0.00100000004749745
多,20,0,20,m,0.00854563154280186
太,1235,0,1235,m,0.00100000004749745
汰,51,0,51,m,0.00100000004749745
泰,80,1,79,m,0.00100000004749745
代,491,488,3,f,0.00100000004749745
大,461,0,461,m,0.00100000004749745
卓,71,0,71,m,0.00100000004749745
拓,45,0,45,m,0.00100000004749745
達,31,0,31,m,0.00499999988824129
丹,2,1,1,b,0.378881573677063
暖,4,1,3,b,0.614211916923523
男,770,0,770,m,0.00100000004749745
知,46,5,41,b,0.0890000015497208
地,67,0,67,m,0.00100000004749745
智,212,9,203,m,0.00100000004749745
宙,15,1,14,b,0.141456514596939
忠,81,0,81,m,0.00100000004749745
暢,25,0,25,m,0.00999999977648258
潮,3,2,1,b,0.115664832293987
鳥,6,4,2,f,0.0208904650062323
直,113,2,111,m,0.00100000004749745
津,16,14,2,f,2.84073777834237E-08
通,44,0,44,m,0.00100000004749745
鶴,27,25,2,f,0.00100000004749745
貞,4,1,3,b,0.614211916923523
禎,15,0,15,m,0.0281065888702869
摘,15,15,0,f,7.79177139476062E-11
哲,103,0,103,m,0.00100000004749745
徹,254,0,254,m,0.00100000004749745
典,426,3,423,m,0.00100000004749745
展,27,1,26,m,0.0270000007003546
田,2,1,1,b,0.378881573677063
斗,185,0,185,m,0.00100000004749745
渡,18,0,18,m,0.0137584581971169
登,109,0,109,m,0.00100000004749745
都,39,16,23,f,0.00300000002607703
努,54,0,54,m,0.00100000004749745
冬,5,2,3,b,0.287234365940094
桃,6,6,0,f,9.05012275325134E-05
等,31,0,31,m,0.00499999988824129
透,52,0,52,m,0.00100000004749745
瞳,33,32,1,f,0.00100000004749745
道,143,1,142,m,0.00100000004749745
徳,334,1,333,m,0.00100000004749745
篤,77,0,77,m,0.00100000004749745
敦,103,0,103,m,0.00100000004749745
奈,295,292,3,f,0.00100000004749745
那,36,31,5,f,0.00100000004749745
凪,2,2,0,f,0.044897086918354
南,23,22,1,f,2.74007247149039E-14
楠,3,2,1,b,0.115664832293987
二,1455,0,1455,m,0.00100000004749745
日,7,2,5,b,0.455742239952087
忍,58,8,50,b,0.899999976158142
寧,11,2,9,b,0.577963352203369
年,30,1,29,m,0.017000000923872
乃,130,129,1,f,0.00100000004749745
之,1988,0,1988,m,0.00100000004749745
納,2,2,0,f,0.044897086918354
能,7,1,6,b,0.544257760047913
波,20,19,1,f,2.5089327317096E-12
馬,111,0,111,m,0.00100000004749745
博,696,1,695,m,0.00100000004749745
白,2,1,1,b,0.378881573677063
肇,61,0,61,m,0.00100000004749745
八,13,0,13,m,0.0452515780925751
隼,21,0,21,m,0.00673490390181541
帆,60,52,8,f,0.00100000004749745
繁,52,0,52,m,0.00100000004749745
範,108,0,108,m,0.00100000004749745
妃,11,10,1,f,1.62015999194409E-06
微,2,2,0,f,0.044897086918354
美,2261,2020,241,f,0.00100000004749745
彦,1688,0,1688,m,0.00100000004749745
姫,16,16,0,f,1.65099323101714E-11
苗,66,65,1,f,0.00100000004749745
彬,19,1,18,b,0.0662333220243454
敏,185,1,184,m,0.00100000004749745
夫,1232,0,1232,m,0.00100000004749745
富,13,1,12,b,0.203412413597107
布,4,2,2,b,0.199324056506157
武,137,0,137,m,0.00100000004749745
舞,30,29,1,f,0.00100000004749745
楓,16,13,3,f,5.04145248214627E-07
風,5,2,3,b,0.287234365940094
文,539,10,529,m,0.00100000004749745
平,1063,0,1063,m,0.00100000004749745
並,2,2,0,f,0.044897086918354
碧,9,8,1,f,2.96815142064588E-05
勉,134,0,134,m,0.00100000004749745
保,149,83,66,f,0.00100000004749745
歩,86,38,48,f,0.00100000004749745
輔,654,2,652,m,0.00100000004749745
穂,203,182,21,f,0.00100000004749745
峰,13,1,12,b,0.203412413597107
朋,14,2,12,b,0.40448796749115
法,23,0,23,m,0.00418317271396518
芳,45,6,39,b,0.899999976158142
萌,14,13,1,f,1.95161646843189E-08
豊,183,1,182,m,0.00100000004749745
邦,35,0,35,m,0.00300000002607703
房,13,0,13,m,0.0452515780925751
望,63,25,38,f,0.00100000004749745
牧,6,5,1,f,0.0021101871971041
睦,28,9,19,b,0.899999976158142
磨,90,0,90,m,0.00100000004749745
麻,21,10,11,f,0.00629237620159984
繭,2,2,0,f,0.044897086918354
麿,7,1,6,b,0.544257760047913
満,85,1,84,m,0.00100000004749745
未,42,38,4,f,0.00100000004749745
巳,154,10,144,m,0.00100000004749745
岬,6,4,2,f,0.0208904650062323
稔,133,0,133,m,0.00100000004749745
妙,6,6,0,f,9.05012275325134E-05
民,6,1,5,b,0.626161813735962
務,23,0,23,m,0.00418317271396518
夢,50,13,37,b,0.899999976158142
名,8,4,4,b,0.0678428560495377
明,1273,13,1260,m,0.00100000004749745
茂,175,0,175,m,0.00100000004749745
猛,60,0,60,m,0.00100000004749745
木,3,1,2,b,0.510489940643311
紋,3,3,0,f,0.00951321329921484
也,2310,3,2307,m,0.00100000004749745
耶,28,16,12,f,0.00100000004749745
野,22,15,7,f,2.83487861452159E-06
弥,237,28,209,m,0.00100000004749745
矢,118,8,110,m,0.00100000004749745
靖,90,0,90,m,0.00100000004749745
諭,31,0,31,m,0.00499999988824129
唯,22,16,6,f,3.25402112366646E-07
佑,129,1,128,m,0.00100000004749745
優,114,30,84,b,0.899999976158142
勇,66,0,66,m,0.00100000004749745
友,45,5,40,b,0.100000001490116
悠,39,13,26,b,0.0649999976158142
憂,2,2,0,f,0.044897086918354
有,16,4,12,b,0.449346750974655
由,49,20,29,f,0.00100000004749745
祐,271,2,269,m,0.00100000004749745
裕,462,10,452,m,0.00100000004749745
雄,1060,0,1060,m,0.00100000004749745
予,2,2,0,f,0.044897086918354
与,4,2,2,b,0.199324056506157
誉,20,2,18,b,0.171862542629242
容,2,2,0,f,0.044897086918354
曜,2,1,1,b,0.378881573677063
洋,406,1,405,m,0.00100000004749745
葉,31,28,3,f,0.00100000004749745
要,36,1,35,m,0.00800000037997961
遥,16,14,2,f,2.84073777834237E-08
陽,61,6,55,m,0.0299999993294477
翼,67,0,67,m,0.00100000004749745
羅,4,1,3,b,0.614211916923523
来,36,27,9,f,0.00100000004749745
藍,7,6,1,f,0.000518451153766364
蘭,7,7,0,f,1.91762446775101E-05
利,177,21,156,m,0.00300000002607703
吏,15,0,15,m,0.0281065888702869
李,8,7,1,f,0.000124967264127918
梨,36,36,0,f,0.00100000004749745
理,199,122,77,f,0.00100000004749745
璃,5,3,2,b,0.0674585998058319
里,335,325,10,f,0.00100000004749745
陸,23,0,23,m,0.00418317271396518
律,9,1,8,b,0.401120543479919
留,9,5,4,f,0.0249415636062622
隆,426,0,426,m,0.00100000004749745
竜,18,0,18,m,0.0137584581971169
龍,23,0,23,m,0.00418317271396518
了,13,0,13,m,0.0452515780925751
亮,273,1,272,m,0.00100000004749745
凌,16,0,16,m,0.0221511032432318
涼,37,2,35,m,0.0189999993890524
良,151,7,144,m,0.00100000004749745
諒,41,1,40,m,0.00400000018998981
遼,28,1,27,m,0.0230000000447035
陵,5,1,4,b,0.712765634059906
力,64,0,64,m,0.00100000004749745
緑,12,12,0,f,8.19047318856292E-09
倫,35,1,34,m,0.00899999961256981
林,11,5,6,b,0.0627967044711113
琳,3,2,1,b,0.115664832293987
輪,3,2,1,b,0.115664832293987
瑠,9,4,5,b,0.102163895964622
塁,14,1,13,b,0.169899821281433
累,2,1,1,b,0.378881573677063
怜,14,5,9,b,0.156701728701591
玲,18,7,11,b,0.0672688782215118
礼,13,1,12,b,0.203412413597107
鈴,25,25,0,f,0.00100000004749745
麗,13,12,1,f,8.56504627222421E-08
恋,2,2,0,f,0.044897086918354
蓮,13,4,9,b,0.289935559034348
路,33,2,31,m,0.034000001847744
朗,503,0,503,m,0.00100000004749745
郎,2218,0,2218,m,0.00100000004749745
和,657,60,597,m,0.00100000004749745
亘,41,0,41,m,0.00100000004749745
侑,10,6,4,f,0.00857897475361824
來,4,3,1,f,0.0320056080818176
凛,6,5,1,f,0.0021101871971041
娟,2,2,0,f,0.044897086918354
實,6,1,5,b,0.626161813735962
廣,37,0,37,m,0.00300000002607703
惠,19,17,2,f,3.82813114541136E-10
暉,21,0,21,m,0.00673490390181541
栞,8,8,0,f,4.06324170398875E-06
椰,4,1,3,b,0.614211916923523
澪,3,3,0,f,0.00951321329921484
煌,2,1,1,b,0.378881573677063
瑶,2,1,1,b,0.378881573677063
眞,20,0,20,m,0.00854563154280186
綺,5,2,3,b,0.287234365940094
翔,162,1,161,m,0.00100000004749745
茉,2,1,1,b,0.378881573677063
莉,33,32,1,f,0.00100000004749745
蕾,2,2,0,f,0.044897086918354
遙,2,2,0,f,0.044897086918354
凜,7,6,1,f,0.000518451153766364
琦,2,1,1,b,0.378881573677063
々,37,34,3,f,0.00100000004749745
